region,value
БРЕСТСКАЯ,0.1666666667
НОВООСКОЛЬСКИЙ,0.0434782609
КИРОВСКАЯ,0.0130767333
ТУАПСИНСКИЙ,0.0
ТАХТАМУКАЙСКИЙ,0.0344827586
УСТЬ-ОРДЫНСКИЙ,0.0625
ПУШКИНСКИЙ,0.2
АДЫГЕЯ,0.0141542817
КИРОВСКИЙ,0.0208333333
РОСТОВСКАЯ,0.009082218
СОЕДИНЕННОЕ,0.0
ТЫВА,0.0
КУЗНЕЦКИЙ,0.2857142857
СВЕРДЛОВСКАЯ,0.0161408362
ПОСЕЛЕНИЕ,0.0227272727
ПРИМОРСКИЙ,0.0194982274
СЛАВЯНСКИЙ,0.0
